,county,year,enery
393,Saguache,1999,
394,Saguache,2005,
395,Saguache,2006,
396,Saguache,2007,
397,Saguache,2008,11426.658203125
398,Saguache,2009,42345.62890625
399,Saguache,2010,
400,Saguache,2011,
401,Saguache,2012,
402,Saguache,2013,
403,Saguache,2014,
404,Saguache,2015,
405,Saguache,2016,
406,San Miguel,1997,
407,San Miguel,1999,
408,San Miguel,2005,
409,San Miguel,2006,
410,San Miguel,2007,
411,San Miguel,2008,
412,San Miguel,2009,34708.30859375
413,San Miguel,2010,
414,San Miguel,2011,
415,San Miguel,2012,
416,San Miguel,2013,
417,San Miguel,2014,
418,San Miguel,2015,
419,San Miguel,2016,
420,Summit,1997,
421,Summit,1999,
422,Summit,2005,
423,Summit,2006,
424,Summit,2007,
425,Summit,2008,7177.50341796875
426,Summit,2009,3505.2919921875
427,Summit,2010,6009.072265625
428,Summit,2011,788423.6875
429,Summit,2012,15623.587890625
430,Summit,2013,659595.875
431,Summit,2014,
432,Summit,2015,
433,Summit,2016,
434,Weld,1997,
435,Weld,1999,
436,Weld,2005,
437,Weld,2006,
438,Weld,2007,
439,Weld,2008,8991.3427734375
440,Weld,2009,135412.9375
441,Weld,2010,32085.7734375
442,Weld,2011,390782.09375
443,Weld,2012,1133999.75
444,Weld,2013,
445,Weld,2014,
446,Weld,2015,
447,Weld,2016,
