	_id	cost	date_installed	size_kw	state	zipcode
171	51098bf927a49b2192015ab7		1349762400	4.8	CO	80021
172	51098bf927a49b2192015b48		1349762400	2.4	CO	80219
173	51098bf927a49b2192015c2b		1349762400	7.2	CO	80634
174	5195de9b27a49b118700e4a8	31173.6	1349762400	7.44	CO	81505
175	5195de9b27a49b118700e4a9	24134.4	1349762400	5.76	CO	81521
176	5195de9b27a49b118700e4aa	26145.6	1349762400	6.24	CO	81526
177	51098bf927a49b2192015a63		1349676000	223.015	CO	80012
178	51098bf927a49b2192015b40		1349676000	2.4	CO	80211
179	51098bf927a49b2192015bc1		1349676000	5.76	CO	80516
180	51098bf927a49b2192015bc2		1349676000	9.36	CO	80516
181	51098bf927a49b2192015bd9		1349676000	5.76	CO	80543
182	51098bf927a49b2192015c5f		1349676000	7.92	CO	81506
183	51098bf927a49b2192015a62		1349416800	4.94	CO	80012
184	51098bf927a49b2192015aad		1349416800	6.48	CO	80020
185	51098bf927a49b2192015ac0		1349416800	4.32	CO	80026
186	51098bf927a49b2192015ac1		1349416800	7.54	CO	80026
187	51098bf927a49b2192015ac8		1349416800	4.32	CO	80027
188	51098bf927a49b2192015ae1		1349416800	9.36	CO	80122
189	51098bf927a49b2192015b23		1349416800	5.98	CO	80130
190	51098bf927a49b2192015bbd		1349416800	9.36	CO	80513
191	51098bf927a49b2192015bc9		1349416800	9.36	CO	80524
192	51098bf927a49b2192015a3f		1349330400	8.36	CO	80003
193	51098bf927a49b2192015a53		1349330400	4.8	CO	80005
194	51098bf927a49b2192015a74		1349330400	3.6	CO	80013
195	51098bf927a49b2192015acb		1349330400	3.12	CO	80031
196	51098bf927a49b2192015ae0		1349330400	7.92	CO	80122
197	51098bf927a49b2192015aea		1349330400	9.36	CO	80123
198	51098bf927a49b2192015b3f		1349330400	2.64	CO	80211
199	51098bf927a49b2192015b8e		1349330400	4.32	CO	80246
200	51098bf927a49b2192015a76		1349244000	4.8	CO	80015
201	51098bf927a49b2192015b3a		1349244000	4.32	CO	80210
202	51098bf927a49b2192015b3b		1349244000	5.28	CO	80210
203	5195de9b27a49b118700e4a4	41229.6	1349244000	9.84	CO	81505
204	5195de9b27a49b118700e4a5	30168.0	1349244000	7.2	CO	81521
205	5195de9b27a49b118700e4a6	40224.0	1349244000	9.6	CO	81503
206	51098bf927a49b2192015a5b		1349157600	5.52	CO	80011
207	51098bf927a49b2192015a91		1349157600	5.72	CO	80016
208	51098bf927a49b2192015a92		1349157600	9.6	CO	80016
209	51098bf927a49b2192015aac		1349157600	4.08	CO	80020
210	51098bf927a49b2192015b68		1349157600	4.32	CO	80231
211	51098bf927a49b2192015c23		1349157600	5.04	CO	80620
212	5195de9b27a49b118700e4a3	26145.6	1349157600	6.24	CO	81505
213	51098bf927a49b2192015a61		1349071200	5.04	CO	80012
214	51098bf927a49b2192015acc		1349071200	5.28	CO	80033
215	51098bf927a49b2192015b4e		1349071200	6.24	CO	80221
216	51098bf927a49b2192015b82		1349071200	6.24	CO	80238
217	51098bf927a49b2192015b8f		1349071200	3.6	CO	80247
218	51098bf927a49b2192015b9f		1349071200	3.87	CO	80305
219	51098bf927a49b2192015bc0		1349071200	5.76	CO	80516
220	51098bf927a49b2192015bc8		1349071200	5.28	CO	80524
221	51098bf927a49b2192015bd2		1349071200	5.76	CO	80526
222	51098bf927a49b2192015c4f		1349071200	1.98	CO	80930
223	51098bf927a49b2192015c50		1349071200	2.2	CO	80930
224	51098bf927a49b2192015c51		1349071200	2.42	CO	80930
225	51098bf927a49b2192015c52		1349071200	2.42	CO	80930
226	51098bf927a49b2192015c53		1349071200	2.42	CO	80930
227	51098bf927a49b2192015c54		1349071200	2.42	CO	80930
228	51098bf927a49b2192015c55		1349071200	2.86	CO	80930
229	51098bf927a49b2192015c56		1349071200	2.86	CO	80930
230	51098bf927a49b2192015c57		1349071200	3.74	CO	80930
231	51098bf927a49b2192015c58		1349071200	4.4	CO	80930
232	51098bf927a49b2192015c59		1349071200	4.4	CO	80930
233	51098bf927a49b2192015c5a		1349071200	5.28	CO	80930
234	5195de9b27a49b118700e4a2	35196.0	1349071200	8.4	CO	80126
235	52094afe27a49b3bdd0000a6	5000.0	1349071200	2.3	CO	80401
236	51098bf927a49b2192015a60		1348898400	3.84	CO	80012
237	51098bf927a49b2192015a46		1348812000	5.72	CO	80004
238	51098bf927a49b2192015ab6		1348812000	3.44	CO	80021
239	51098bf927a49b2192015b0e		1348812000	8.64	CO	80128
240	51098bf927a49b2192015b0f		1348812000	9.84	CO	80128
241	51098bf927a49b2192015b22		1348812000	9.36	CO	80130
242	51098bf927a49b2192015b4c		1348812000	5.28	CO	80220
243	51098bf927a49b2192015b5f		1348812000	2.4	CO	80228
244	51098bf927a49b2192015b93		1348812000	9.6	CO	80249
245	51098bf927a49b2192015bd7		1348812000	5.76	CO	80534
246	51098bf927a49b2192015c66		1348812000	1.68	CO	81526
247	51098bf927a49b2192015a73		1348725600	6.72	CO	80013
248	51098bf927a49b2192015a90		1348725600	5.28	CO	80016
249	51098bf927a49b2192015add		1348725600	6.0	CO	80121
250	51098bf927a49b2192015adf		1348725600	8.64	CO	80122
251	51098bf927a49b2192015ae9		1348725600	4.32	CO	80123
252	51098bf927a49b2192015b08		1348725600	5.28	CO	80127
253	51098bf927a49b2192015b3e		1348725600	3.84	CO	80211
254	51098bf927a49b2192015b42		1348725600	5.76	CO	80212
255	51098bf927a49b2192015b73		1348725600	6.72	CO	80234
256	51098bf927a49b2192015b9b		1348725600	6.72	CO	80304
257	51098bf927a49b2192015c2a		1348725600	9.12	CO	80634
258	51098bf927a49b2192015c5c		1348725600	10.08	CO	81005
259	51098bf927a49b2192015a52		1348639200	6.48	CO	80005
260	51098bf927a49b2192015a8f		1348639200	6.24	CO	80016
261	51098bf927a49b2192015aab		1348639200	3.84	CO	80020
262	51098bf927a49b2192015ab5		1348639200	9.9	CO	80021
263	51098bf927a49b2192015abf		1348639200	5.52	CO	80026
264	51098bf927a49b2192015ad1		1348639200	5.64	CO	80110
265	51098bf927a49b2192015aee		1348639200	4.08	CO	80124
266	51098bf927a49b2192015b44		1348639200	5.52	CO	80215
267	51098bf927a49b2192015b4b		1348639200	2.4	CO	80220
268	51098bf927a49b2192015b59		1348639200	9.36	CO	80227
269	51098bf927a49b2192015b64		1348639200	5.76	CO	80229
270	51098bf927a49b2192015b87		1348639200	9.36	CO	80239
271	51098bf927a49b2192015b97		1348639200	6.72	CO	80301
272	51098bf927a49b2192015b9e		1348639200	2.4	CO	80305
273	5195de9b27a49b118700e4a1	26145.6	1348639200	6.24	CO	80129
274	51098bf927a49b2192015a72		1348552800	9.6	CO	80013
275	51098bf927a49b2192015a8e		1348552800	9.84	CO	80016
276	51098bf927a49b2192015a9e		1348552800	4.56	CO	80018
277	51098bf927a49b2192015adc		1348552800	3.36	CO	80121
278	51098bf927a49b2192015aed		1348552800	3.01	CO	80124
279	51098bf927a49b2192015b39		1348552800	2.64	CO	80210
280	51098bf927a49b2192015bb2		1348552800	2.88	CO	80439
281	51098bf927a49b2192015bc7		1348552800	3.6	CO	80521
282	51098bf927a49b2192015be8		1348552800	11.52	CO	80602
283	5195de9b27a49b118700e4a0	22584.1	1348552800	5.39	CO	80466
284	51098bf927a49b2192015a71		1348466400	6.48	CO	80013
285	51098bf927a49b2192015a8d		1348466400	4.08	CO	80016
286	51098bf927a49b2192015b29		1348466400	4.8	CO	80204
287	51098bf927a49b2192015b66		1348466400	3.36	CO	80230
288	51098bf927a49b2192015b9a		1348466400	9.36	CO	80304
289	51098bf927a49b2192015c41		1348466400	2.2	CO	80930
290	51098bf927a49b2192015c42		1348466400	2.86	CO	80930
291	51098bf927a49b2192015c43		1348466400	2.86	CO	80930
292	51098bf927a49b2192015c44		1348466400	3.3	CO	80930
293	51098bf927a49b2192015c45		1348466400	3.3	CO	80930
294	51098bf927a49b2192015c46		1348466400	3.3	CO	80930
295	51098bf927a49b2192015c47		1348466400	4.18	CO	80930
296	51098bf927a49b2192015c48		1348466400	4.62	CO	80930
297	51098bf927a49b2192015c49		1348466400	5.5	CO	80930
298	51098bf927a49b2192015c4a		1348466400	5.72	CO	80930
299	51098bf927a49b2192015c4b		1348466400	5.72	CO	80930
300	51098bf927a49b2192015c4c		1348466400	7.92	CO	80930
301	51098bf927a49b2192015c4d		1348466400	7.92	CO	80930
302	51098bf927a49b2192015c4e		1348466400	9.68	CO	80930
303	51098bf927a49b2192015c61		1348466400	5.04	CO	81507
304	5195de9b27a49b118700e49f	32179.2	1348466400	7.68	CO	81521
305	51098bf927a49b2192015a8c		1348207200	6.24	CO	80016
306	51098bf927a49b2192015b7a		1348207200	5.64	CO	80237
307	51098bf927a49b2192015b80		1348207200	7.68	CO	80238
308	51098bf927a49b2192015b81		1348207200	9.84	CO	80238
309	5195de9b27a49b118700e49d	40224.0	1348207200	9.6	CO	81506
310	5195de9b27a49b118700e49e	13876.5	1348207200	3.19	CO	80403
311	51098bf927a49b2192015a9c		1348120800	3.84	CO	80017
312	51098bf927a49b2192015acd		1348120800	6.72	CO	80104
313	51098bf927a49b2192015afc		1348120800	8.64	CO	80126
314	51098bf927a49b2192015b25		1348120800	5.28	CO	80134
315	51098bf927a49b2192015b4a		1348120800	3.6	CO	80220
316	51098bf927a49b2192015b79		1348120800	5.76	CO	80237
317	51098bf927a49b2192015b8c		1348120800	3.84	CO	80241
318	51098bf927a49b2192015b9d		1348120800	3.01	CO	80305
319	51098bf927a49b2192015bb0		1348120800	6.72	CO	80439
320	51098bf927a49b2192015bb1		1348120800	9.6	CO	80439
321	5195de9b27a49b118700e49c	28743.4	1348120800	6.86	CO	80126
322	51098bf927a49b2192015ad6		1348034400	4.8	CO	80112
323	5195de9b27a49b118700e49a	41900.0	1348034400	10.0	CO	80130
324	5195de9b27a49b118700e49b	35196.0	1348034400	8.4	CO	81507
325	51098bf927a49b2192015a3e		1347948000	6.72	CO	80003
326	51098bf927a49b2192015a51		1347948000	8.64	CO	80005
327	51098bf927a49b2192015a75		1347948000	4.32	CO	80014
328	51098bf927a49b2192015a9b		1347948000	5.28	CO	80017
329	51098bf927a49b2192015ad9		1347948000	4.56	CO	80120
330	51098bf927a49b2192015b7f		1347948000	8.88	CO	80238
331	51098bf927a49b2192015baf		1347948000	3.64	CO	80439
332	51098bf927a49b2192015bba		1347948000	5.04	CO	80465
333	51098bf927a49b2192015bd1		1347948000	9.84	CO	80526
334	51098bf927a49b2192015bfc		1347948000	5.17	CO	80620
335	51098bf927a49b2192015bfd		1347948000	5.17	CO	80620
336	51098bf927a49b2192015bfe		1347948000	5.17	CO	80620
337	51098bf927a49b2192015bff		1347948000	5.17	CO	80620
338	51098bf927a49b2192015c00		1347948000	5.17	CO	80620
339	51098bf927a49b2192015c01		1347948000	5.17	CO	80620
340	51098bf927a49b2192015c02		1347948000	5.17	CO	80620
341	51098bf927a49b2192015c03		1347948000	5.17	CO	80620
342	51098bf927a49b2192015c04		1347948000	5.17	CO	80620
343	51098bf927a49b2192015c05		1347948000	5.17	CO	80620
344	51098bf927a49b2192015c06		1347948000	5.17	CO	80620
345	51098bf927a49b2192015c07		1347948000	5.17	CO	80620
346	51098bf927a49b2192015c08		1347948000	5.17	CO	80620
347	51098bf927a49b2192015c09		1347948000	5.17	CO	80620
348	51098bf927a49b2192015c0a		1347948000	5.17	CO	80620
349	51098bf927a49b2192015c0b		1347948000	5.17	CO	80620
350	51098bf927a49b2192015c0c		1347948000	5.17	CO	80620
351	51098bf927a49b2192015c0d		1347948000	5.17	CO	80620
352	51098bf927a49b2192015c0e		1347948000	5.17	CO	80620
353	51098bf927a49b2192015c0f		1347948000	5.17	CO	80620
354	51098bf927a49b2192015c10		1347948000	5.17	CO	80620
355	51098bf927a49b2192015c11		1347948000	5.17	CO	80620
