county,year,energy_use
Fremont,2013,333511834.2152118
Fremont,2014,333138400.9291301
Fremont,2015,335077381.46954733
Fremont,2016,341023588.455523
Fremont,2017,341620093.6785354
Fremont,2018,342187917.58876824
Fremont,2019,342746463.9427903
Fremont,2020,343279168.6782326
Fremont,2021,343774179.75493133
Fremont,2022,344251057.0319025
Fremont,2023,344689864.55497944
Fremont,2024,345089685.7205923
Fremont,2025,345458516.0503652
Fremont,2026,346371398.5937261
Fremont,2027,347835239.5621529
Fremont,2028,349656580.1422525
Fremont,2029,351847455.2276657
Fremont,2030,354428410.3901238
Fremont,2031,357006472.4535792
Fremont,2032,359572539.17234826
Fremont,2033,362115988.41095895
Fremont,2034,364646450.275545
Fremont,2035,367161641.0703742
Fremont,2036,369645306.30197877
Fremont,2037,372122069.44775313
Fremont,2038,374593323.36216
Fremont,2039,377060479.966806
Garfield,1990,173246571.95910177
Garfield,1991,179446878.80655512
Garfield,1992,180136440.27244428
Garfield,1993,187210191.64335722
Garfield,1994,198225936.0609365
Garfield,1995,209264665.8607121
Garfield,1996,216510807.59809735
Garfield,1997,223458139.3669306
Garfield,1998,236893095.26067102
Garfield,1999,245334476.87226412
Garfield,2000,254212580.74558702
Garfield,2001,263797485.12345764
Garfield,2002,268515234.8158013
Garfield,2003,272859472.0515352
Garfield,2004,276721016.2606869
Garfield,2005,283041996.36829114
Garfield,2006,293672735.62764627
Garfield,2007,302694498.14383334
Garfield,2008,311601333.74449944
Garfield,2009,318347543.4192299
Garfield,2010,322674541.6172822
Garfield,2011,321824082.47236425
Garfield,2012,326220036.82157385
Garfield,2013,327237139.98535776
Garfield,2014,329035746.1448563
Garfield,2015,332018099.4806436
Garfield,2016,338942445.86580366
Garfield,2017,346341021.1596447
Garfield,2018,353747339.3253073
Garfield,2019,361111946.67214054
Garfield,2020,368451007.13077027
Garfield,2021,375761531.9199026
Garfield,2022,383034487.6032093
Garfield,2023,390278416.8523769
Garfield,2024,397490063.16554385
Garfield,2025,404663810.6672648
Garfield,2026,412095677.76626074
Garfield,2027,419851985.0320821
Garfield,2028,427929980.5802127
Garfield,2029,436337551.0122531
Garfield,2030,444790935.96273506
Garfield,2031,453261880.26168084
Garfield,2032,461732213.9340086
Garfield,2033,470189369.6224758
Garfield,2034,478608427.4970747
Garfield,2035,486944570.4793932
Garfield,2036,495196344.6457448
Garfield,2037,503389487.2343107
Garfield,2038,511534466.4439165
Garfield,2039,519642184.3974652
Douglas,1990,378692538.44822085
Douglas,1991,410224619.14874357
Douglas,1992,463569567.22422796
Douglas,1993,511353648.9412901
Douglas,1994,569189119.6292173
Douglas,1995,638736857.5145293
Douglas,1996,705645644.4399265
Douglas,1997,795554519.1022052
Douglas,1998,887967013.9059415
Douglas,1999,998519989.7837789
Douglas,2000,1110395516.8419933
Douglas,2001,1224362520.1929595
Douglas,2002,1289979512.92655
Douglas,2003,1360357689.9182935
Douglas,2004,1437250200.4069262
Douglas,2005,1503660723.8922348
Douglas,2006,1586034132.5270288
Douglas,2007,1652260113.958687
